Block Position,Hook Load,PVT,Time,Note,Note_Param,Zone_Line,,,,,,Depth,ROP,WOB,RPM,Torque,SPP,SPM,Flow Out
28.63999939,18.70000076,66.79000092,1:10:40 AM,,,,,,,,,,,,0,0,70,0,
28.54000092,17.89999962,66.76999664,1:10:50 AM,,,,,,,,,,,,0,0,70,0,
27.14999962,18.5,66.72000122,1:11:00 AM,,,,,,,,,,,,0,0,70,0,
24.46999931,19.5,66.77999878,1:11:10 AM,,,,,,,,,,,,0,0,70,0,
18.82999992,18.60000038,66.80999756,1:11:20 AM,,,,,,,,,,,,0,0,65,0,
15.35000038,19,66.81999969,1:11:30 AM,,,,,,,,,,,,0,0,65,0,
10.02000046,19.60000038,66.73999786,1:11:40 AM,,,,,,,,,,,,0,0,65,0,
6.679999828,19.79999924,66.83000183,1:11:50 AM,,,,,,,,,,,,0,0,65,0,
2.5,17.29999924,66.69999695,1:12:00 AM,,,,,,,,,,,,0,0,65,0,
1.360000014,19,66.77999878,1:12:10 AM,,,,,,,,,,,,0,0,65,0,
1.320000052,20,66.70999908,1:12:20 AM,,,,,,,,,,,,0,0,65,0,
1.519999981,19.70000076,66.69000244,1:12:30 AM,,,,,,,,,,,,0,0,65,0,
1.730000019,21.60000038,66.75,1:12:40 AM,,,,,,,,,,,,0,0,65,0,
1.799999952,31.80000305,66.73000336,1:12:50 AM,,,,,,,,,,,,0,0,65,0,
1.909999967,55.59999847,66.79000092,1:13:00 AM,,,,,,,,,,,,0,0,65,0,
2.200000048,74.69999695,66.68000031,1:13:10 AM,,,,44.69999695,,,,,,,,0,0,65,0,
2.5,81.30000305,66.80000305,1:13:20 AM,,,,,,,,,,,,0,0,65,0,
2.819999933,82.19999695,66.83999634,1:13:30 AM,,,,,,,,,,,,0,0,59,0,
3.119999886,83.80000305,66.80999756,1:13:40 AM,,,,,,,,,,,,0,0,65,0,
3.130000114,83.30000305,66.87000275,1:13:50 AM,,,,,,,,,,,,0,0,65,0,
3.319999933,83.40000153,66.77999878,1:14:00 AM,,,,,,,,,,,,0,0,59,0,
3.730000019,86.09999847,66.80000305,1:14:10 AM,,,,,,,,,,,,0,0,59,0,
4.099999905,83.5,66.73999786,1:14:20 AM,,,,,,,,,,,,0,0,65,0,
4.46999979,82.19999695,66.75,1:14:30 AM,,,,,,,,,,,,0,0,65,0,
5.070000172,83.09999847,66.77999878,1:14:40 AM,,,,,,,,,,,,0,0,59,0,
5.53000021,86.19999695,66.76000214,1:14:50 AM,,,,,,,,,,,,0,0,59,0,
5.710000038,81.90000153,66.68000031,1:15:00 AM,,,,,,,,,,,,0,0,59,0,
6.019999981,82.19999695,66.75,1:15:10 AM,,,,,,,,,,,,0,0,65,0,
6.300000191,83.5,66.76999664,1:15:20 AM,,,,,,,,,,,,0,0,65,0,
6.639999866,85.5,66.79000092,1:15:30 AM,,,,,,,,,,,,0,0,65,0,
7.230000019,90.69999695,66.70999908,1:15:40 AM,High Overpull (~24 mt),Hook Load,,,,,,,,,,0,0,59,0,
7.300000191,95.5,66.80000305,1:15:50 AM,,,,,,,,,,,,0,0,65,0,
