Block Position,Hook Load,PVT,Time,Note,Note_Param,Zone_Line,,,,,,Depth,ROP,WOB,RPM,Torque,SPP,SPM,Flow Out
2.094583333,38.89444479,518.1499958,10:06:25 AM,,,,,,,,,,,,,,,,
2.090833307,38.96666718,518.599987,10:06:30 AM,Dump Trip Tank,PVT,,,,,,,,,,,,,,
2.08708328,39.70000076,505.6813604,10:06:35 AM,,,,,,,,,,,,,,,,
2.083333254,36.76666641,492.7627339,10:06:40 AM,,,,,,,,,,,,,,,,
2.019999981,18.73333359,479.8441073,10:06:45 AM,,,,,,,,,,,,,,,,
2.041666627,17.83333397,466.9254808,10:06:50 AM,,,,,,,,,,,,,,,,
2.063333273,18.16666794,454.0068542,10:06:55 AM,,,,,,,,,,,,,,,,
2.084999919,18.36666679,441.0882276,10:07:00 AM,,,,,,,,,,,,,,,,
2.106666565,17.95000076,428.1696011,10:07:05 AM,,,,,,,,,,,,,,,,
7.788333416,18.73333359,415.2509745,10:07:10 AM,,,,,,,,,,,,,,,,
15.69499969,19.11666679,402.332348,10:07:15 AM,,,,,,,,,,,,,,,,
15.51333332,18.5,389.4137214,10:07:20 AM,,,,,,,,,,,,,,,,
15.10000038,18.53333282,376.4950949,10:07:25 AM,,,,,,,,,,,,,,,,
15.09833336,18.51666641,363.5764683,10:07:30 AM,,,,,,,,,,,,,,,,
15.09833336,18.45000076,350.6578417,10:07:35 AM,,,,,,,,,,,,,,,,
15.09500027,18.46666718,337.7392152,10:07:40 AM,,,,,,,,,,,,,,,,
15.09666729,18.11666679,324.8205886,10:07:45 AM,,,,,,,,,,,,,,,,
15.09333324,26.01666641,311.9019621,10:07:50 AM,,,,,,,,,,,,,,,,
15.28833389,39.45000076,298.9833355,10:07:55 AM,,,,,,,,,,,,,,,,
14.27000046,38.79999924,307.4833393,10:08:00 AM,,,,,,,,,,,,,,,,
9.693333626,38.58333206,322.3333359,10:08:05 AM,,,,,,,,,,,,,,,,
4.931666851,39.21666718,333.5000038,10:08:10 AM,,,,,,,,,,,,,,,,
2.113333225,19.93333244,342.8500175,10:08:15 AM,,,,,,,,,,,,,,,,
2.173333406,18.18333435,345.8499908,10:08:20 AM,,,,,,,,,,,,,,,,
2.116666555,18.20000076,346.4666843,10:08:25 AM,,,,,,,,,,,,,,,,
8.726666451,18.95000076,347.2000122,10:08:30 AM,,,,,,,,,,,,,,,,
15.59166718,19.21666718,347.266674,10:08:35 AM,,,,,,,,,,,,,,,,
15.53166676,18.70000076,347.9499817,10:08:40 AM,,,,,,,,,,,,,,,,
15.05000019,18.68333435,347.3333359,10:08:45 AM,,,,,,,,,,,,,,,,
15.04833317,18.64999962,347.5333214,10:08:50 AM,,,,,,,,,,,,,,,,
15.05000019,18.81666565,347.5333214,10:08:55 AM,,,,,,,,,,,,,,,,
15.05000019,18.68333435,347.4666595,10:09:00 AM,,,,,,,,,,,,,,,,
15.05000019,29.81666565,347.3999977,10:09:05 AM,,,,,,,,,,,,,,,,
15.25166702,39.3833313,349.2833138,10:09:10 AM,,,,,,,,,,,,,,,,
13.51833344,39.1166687,364.9833202,10:09:15 AM,,,,,,,,,,,,,,,,
10.28333282,38.75,384.8500252,10:09:20 AM,,,,,,,,,,,,,,,,
7.181666851,38.85000229,393.3166504,10:09:25 AM,,,,,,,,,,,,,,,,
4.303333282,39.28333282,400.516634,10:09:30 AM,,,,,,,,,,,,,,,,
2.186666489,20.16666603,406.32,10:09:35 AM,,,,,,,,,,,,,,,,
2.069999933,18.03333282,406.6666439,10:09:40 AM,Slight Gain,PVT,,,,,,,,,,,,,,
5.289999962,18.75,417.1666439,10:09:45 AM,,,,,,,,,,,,,,,,
15.18999958,18.88333321,417.1666439,10:09:50 AM,,,,,,,,,,,,,,,,
15.43499947,18.78333282,417.1666439,10:09:55 AM,,,,,,,,,,,,,,,,
15.02833366,18.58333397,417.1666439,10:10:00 AM,,,,,,,,,,,,,,,,
15.00833321,18.58333397,417.1666439,10:10:05 AM,,,,,,,,,,,,,,,,
15.01000023,18.58333397,417.1666439,10:10:10 AM,,,,,,,,,,,,,,,,
15.01000023,18.48333359,421.3333134,10:10:15 AM,,,,,,,,,,,,,,,,
15.02333355,40.65000153,425.4999828,10:10:20 AM,,,,,,,,,,,,,,,,
15.16499996,40.40000153,438.2666779,10:10:25 AM,,,,,,,,,,,,,,,,
12.9416666,39.96666718,447.9833317,10:10:30 AM,,,,,,,,,,,,,,,,
11.375,39.41666794,458.3999825,10:10:35 AM,,,,,,,,,,,,,,,,
8.743333817,39.09999847,461.9333458,10:10:40 AM,,,,,,,,,,,,,,,,
5.690000057,39.5,462.9999828,10:10:45 AM,,,,,,,,,,,,,,,,
2.383333445,18.38333321,463.4666634,10:10:50 AM,,,,,,,,,,,,,,,,
