Time of Data Collect,Kelly Position,Torque at rotary,RPM at rotary,HKLD,SPP,,PVT,SPM1,SPM2,SPM3,Trip Tank,RPM
28/3/2026 1:03,2.950000048,4172,59,115.3000031,28066,28/3/2026 1:03,60.15000153,84,0,0,3.177999973,59
28/3/2026 1:03,2.950000048,4495,59,115.3000031,28245,28/3/2026 1:03,60.15000153,84,0,0,3.170000076,59
28/3/2026 1:03,2.930000067,3846,59,115.4000015,28185,28/3/2026 1:03,60.15000153,84,0,0,3.161000013,59
28/3/2026 1:03,2.930000067,3948,59,115.5,28125,28/3/2026 1:03,60.11999893,84,0,0,3.155999899,59
28/3/2026 1:04,2.950000048,4144,59,115.3000031,28205,28/3/2026 1:04,60.22999954,84,0,0,3.15199995,59
28/3/2026 1:04,2.930000067,4117,59,115.4000015,28006,28/3/2026 1:04,60.20999908,84,0,0,3.150000095,59
28/3/2026 1:04,2.930000067,3703,59,115.5,27986,28/3/2026 1:04,60.09000015,84,0,0,3.148000002,59
28/3/2026 1:04,2.950000048,3730,59,115.5,28165,28/3/2026 1:04,60.15000153,84,0,0,3.147000074,59
28/3/2026 1:04,2.950000048,3867,59,115.5,27986,28/3/2026 1:04,60.15999985,84,0,0,3.144999981,59
28/3/2026 1:04,2.930000067,4203,59,115.5,27946,28/3/2026 1:04,60.11999893,84,0,0,3.144999981,59
28/3/2026 1:04,2.930000067,4203,59,115.5,27966,28/3/2026 1:04,60.08000183,84,0,0,3.144000053,59
28/3/2026 1:04,2.930000067,4324,59,115.5,27927,28/3/2026 1:04,60.15999985,84,0,0,3.144000053,59
28/3/2026 1:04,2.950000048,3884,59,115.5,28205,28/3/2026 1:04,60.15999985,84,0,0,3.142999887,59
28/3/2026 1:04,2.930000067,4262,59,115.5999985,28026,28/3/2026 1:04,60.15000153,84,0,0,3.142999887,59
28/3/2026 1:04,2.950000048,3932,59,115.6999969,28006,28/3/2026 1:04,60.15999985,84,0,0,3.142999887,59
28/3/2026 1:04,2.930000067,4016,59,115.5999985,28125,28/3/2026 1:04,60.15999985,84,0,0,3.142999887,59
28/3/2026 1:05,2.930000067,4109,59,115.6999969,27986,28/3/2026 1:05,59.75,84,0,0,3.142999887,59
28/3/2026 1:05,2.930000067,4177,59,115.5999985,28006,28/3/2026 1:05,60.15000153,84,0,0,3.142999887,59
28/3/2026 1:05,2.930000067,3967,59,115.6999969,28324,28/3/2026 1:05,60.20000076,84,0,0,3.142999887,59
28/3/2026 1:05,2.930000067,3911,59,115.8000031,28125,28/3/2026 1:05,60.22999954,84,0,0,3.142999887,59
28/3/2026 1:05,2.930000067,4306,59,115.6999969,27986,28/3/2026 1:05,60.24000168,84,0,0,3.142999887,59
28/3/2026 1:05,2.930000067,4112,59,115.8000031,28185,28/3/2026 1:05,60.18000031,84,0,0,3.142999887,59
28/3/2026 1:05,2.930000067,4458,59,115.9000015,27887,28/3/2026 1:05,60.16999817,84,0,0,3.142999887,59
28/3/2026 1:05,2.930000067,4063,59,115.6999969,28006,28/3/2026 1:05,60.18999863,84,0,0,3.142999887,59
28/3/2026 1:05,2.950000048,3930,59,115.9000015,27847,28/3/2026 1:05,60.16999817,84,0,0,3.142999887,59
28/3/2026 1:05,2.930000067,3749,59,115.9000015,27807,28/3/2026 1:05,60.18999863,84,0,0,3.142999887,59
28/3/2026 1:05,2.930000067,3504,59,116.0999985,27847,28/3/2026 1:05,60.16999817,84,0,0,3.142999887,59
28/3/2026 1:05,2.950000048,3655,59,116.5,27648,28/3/2026 1:05,60.20999908,84,0,0,3.142999887,59
28/3/2026 1:06,2.950000048,3519,59,116.6999969,27787,28/3/2026 1:06,60.20000076,84,0,0,3.142999887,59
28/3/2026 1:06,2.930000067,3821,59,116.6999969,27827,28/3/2026 1:06,60.20999908,84,0,0,3.142999887,59
28/3/2026 1:06,2.950000048,3785,59,116.6999969,27708,28/3/2026 1:06,60.11000061,84,0,0,3.142999887,59
28/3/2026 1:06,2.950000048,3839,59,116.5999985,27609,28/3/2026 1:06,60.11999893,84,0,0,3.142999887,59
28/3/2026 1:06,2.920000076,4219,59,116.5999985,27708,28/3/2026 1:06,60.15999985,84,0,0,3.142999887,59
28/3/2026 1:06,2.920000076,4132,59,116.5,27668,28/3/2026 1:06,60.15999985,84,0,0,3.142999887,59
28/3/2026 1:06,2.900000095,4079,59,116.5,27748,28/3/2026 1:06,60.20000076,84,0,0,3.142999887,59
28/3/2026 1:06,2.900000095,4111,59,116.5,27907,28/3/2026 1:06,60.18000031,84,0,0,3.142999887,59
28/3/2026 1:06,2.900000095,3811,59,116.5,27827,28/3/2026 1:06,60.18999863,84,0,0,3.142999887,59
28/3/2026 1:06,2.900000095,4108,59,116.4000015,27847,28/3/2026 1:06,60.15999985,84,0,0,3.142999887,59
28/3/2026 1:06,2.900000095,3500,59,116.5,27748,28/3/2026 1:06,60.15000153,84,0,0,3.142999887,59
28/3/2026 1:06,2.880000114,4035,59,116.4000015,27668,28/3/2026 1:06,60.16999817,84,0,0,3.142999887,59
28/3/2026 1:07,2.869999886,3821,59,116.5,27927,28/3/2026 1:07,60.24000168,84,0,0,3.142999887,59
28/3/2026 1:07,2.869999886,3853,59,116.5,27609,28/3/2026 1:07,60.22999954,84,0,0,3.142999887,59
28/3/2026 1:07,2.869999886,3976,59,116.4000015,27728,28/3/2026 1:07,60.13999939,84,0,0,3.142999887,59
28/3/2026 1:07,2.869999886,4065,59,116.5,27867,28/3/2026 1:07,60.11999893,84,0,0,3.142999887,59
28/3/2026 1:07,2.869999886,4140,59,116.5,28066,28/3/2026 1:07,60.11000061,84,0,0,3.142999887,59
28/3/2026 1:07,2.849999905,3961,59,116.4000015,27867,28/3/2026 1:07,60.11000061,84,0,0,3.142999887,59
28/3/2026 1:07,2.849999905,3922,59,116.4000015,27827,28/3/2026 1:07,60.13000107,84,0,0,3.142999887,59
28/3/2026 1:07,2.849999905,3999,59,116.3000031,27966,28/3/2026 1:07,60.22000122,84,0,0,3.142999887,59
28/3/2026 1:07,2.839999914,3772,59,116.3000031,27787,28/3/2026 1:07,60.20000076,84,0,0,3.142999887,59
28/3/2026 1:07,2.839999914,3983,59,116.1999969,28046,28/3/2026 1:07,60.18999863,84,0,0,3.142999887,59
28/3/2026 1:07,2.819999933,4092,59,116.1999969,27966,28/3/2026 1:07,60.22999954,84,0,0,3.142999887,59
28/3/2026 1:07,2.819999933,3940,59,116.1999969,27807,28/3/2026 1:07,60.22999954,84,0,0,3.142999887,59
28/3/2026 1:08,2.819999933,4019,60,116,27986,28/3/2026 1:08,60.20000076,84,0,0,3.142999887,60
28/3/2026 1:08,2.819999933,4251,60,116,27688,28/3/2026 1:08,60.04000092,84,0,0,3.142999887,60
28/3/2026 1:08,2.809999943,4407,60,116,27986,28/3/2026 1:08,60.06999969,84,0,0,3.142999887,60
28/3/2026 1:08,2.809999943,4498,60,116,27907,28/3/2026 1:08,60.08000183,84,0,0,3.142999887,60
28/3/2026 1:08,2.809999943,4149,60,116,27787,28/3/2026 1:08,60.09000015,84,0,0,3.142999887,60
28/3/2026 1:08,2.799999952,4398,60,115.9000015,28165,28/3/2026 1:08,60.06999969,84,0,0,3.142999887,60
28/3/2026 1:08,2.799999952,4251,60,115.9000015,28105,28/3/2026 1:08,60.11000061,84,0,0,3.142999887,60
28/3/2026 1:08,2.799999952,4021,60,115.9000015,27966,28/3/2026 1:08,60.20000076,84,0,0,3.142999887,60
28/3/2026 1:08,2.799999952,3875,60,115.8000031,28245,28/3/2026 1:08,60.18999863,84,0,0,3.142999887,60
28/3/2026 1:08,2.799999952,4111,60,115.8000031,28245,28/3/2026 1:08,60.18999863,84,0,0,3.142999887,60
28/3/2026 1:08,2.799999952,4180,60,115.6999969,27887,28/3/2026 1:08,60.15000153,84,0,0,3.142999887,60
28/3/2026 1:08,2.769999981,4281,60,115.5999985,28225,28/3/2026 1:08,60.15999985,84,0,0,3.142999887,60
28/3/2026 1:09,2.789999962,4147,60,115.8000031,28185,28/3/2026 1:09,60.29000092,84,0,0,3.142999887,60
28/3/2026 1:09,2.769999981,4385,60,115.8000031,28105,28/3/2026 1:09,60.31000137,84,0,0,3.142999887,60
28/3/2026 1:09,2.75999999,4144,60,115.9000015,28046,28/3/2026 1:09,60.22999954,84,0,0,3.142999887,60
28/3/2026 1:09,2.75999999,4401,60,115.9000015,27847,28/3/2026 1:09,60.13000107,84,0,0,3.142999887,60
28/3/2026 1:09,2.75999999,4101,60,115.9000015,28205,28/3/2026 1:09,60.11999893,84,0,0,3.142999887,60
28/3/2026 1:09,2.75999999,3943,60,115.9000015,28066,28/3/2026 1:09,60.11999893,84,0,0,3.142999887,60
28/3/2026 1:09,2.74000001,4048,60,116,27887,28/3/2026 1:09,60.13999939,84,0,0,3.142999887,60
28/3/2026 1:09,2.75,3598,60,115.8000031,28026,28/3/2026 1:09,60.13999939,84,0,0,3.142999887,60
28/3/2026 1:09,2.74000001,4157,60,115.9000015,27946,28/3/2026 1:09,60.15000153,84,0,0,3.142999887,60
28/3/2026 1:09,2.730000019,4262,60,115.9000015,27887,28/3/2026 1:09,60.13999939,84,0,0,3.142999887,60
28/3/2026 1:09,2.730000019,4141,60,115.8000031,28205,28/3/2026 1:09,60.24000168,84,0,0,3.142999887,60
28/3/2026 1:09,2.730000019,4479,60,115.6999969,28165,28/3/2026 1:09,60.22000122,84,0,0,3.142999887,60
28/3/2026 1:10,2.730000019,4033,60,115.6999969,28125,28/3/2026 1:10,60.18999863,84,0,0,3.142999887,60
28/3/2026 1:10,2.730000019,4277,60,115.5999985,28284,28/3/2026 1:10,60.15999985,84,0,0,3.145999908,60
28/3/2026 1:10,2.730000019,4232,60,115.5,28245,28/3/2026 1:10,60.27000046,84,0,0,3.148000002,60
28/3/2026 1:10,2.720000029,4008,60,115.5,27966,28/3/2026 1:10,60.27000046,84,0,0,3.148999929,60
28/3/2026 1:10,2.730000019,3844,60,115.4000015,28165,28/3/2026 1:10,60.24000168,84,0,0,3.148999929,60
28/3/2026 1:10,2.730000019,3436,60,115.6999969,27927,28/3/2026 1:10,60.18999863,84,0,0,3.147000074,60
28/3/2026 1:10,2.720000029,3991,60,115.8000031,27907,28/3/2026 1:10,60.41999817,84,0,0,3.145999908,60
28/3/2026 1:10,2.730000019,4159,60,115.8000031,27927,28/3/2026 1:10,60.34999847,84,0,0,3.144999981,60
28/3/2026 1:10,2.720000029,4042,60,115.9000015,27907,28/3/2026 1:10,60.15999985,84,0,0,3.144000053,60
28/3/2026 1:10,2.710000038,4154,60,115.9000015,27927,28/3/2026 1:10,60.16999817,84,0,0,3.144000053,60
28/3/2026 1:10,2.710000038,4127,60,115.9000015,27946,28/3/2026 1:10,60.09999847,84,0,0,3.144000053,60
28/3/2026 1:10,2.710000038,4081,60,115.8000031,27768,28/3/2026 1:10,60.13999939,84,0,0,3.142999887,60
28/3/2026 1:11,2.700000048,4036,60,115.5999985,27887,28/3/2026 1:11,60.16999817,84,0,0,3.142999887,60
28/3/2026 1:11,2.690000057,3973,60,115.6999969,27847,28/3/2026 1:11,60.15000153,84,0,0,3.142999887,60
28/3/2026 1:11,2.690000057,3714,60,115.8000031,27688,28/3/2026 1:11,60.09000015,84,0,0,3.145999908,60
28/3/2026 1:11,2.700000048,3673,60,115.9000015,27847,28/3/2026 1:11,60.11999893,84,0,0,3.144999981,60
28/3/2026 1:11,2.690000057,3787,60,116,27827,28/3/2026 1:11,60.11999893,84,0,0,3.144999981,60
28/3/2026 1:11,2.690000057,3852,60,116,27529,28/3/2026 1:11,60.09000015,84,0,0,3.145999908,60
28/3/2026 1:11,2.690000057,4150,60,115.9000015,27768,28/3/2026 1:11,60.11000061,84,0,0,3.144999981,60
28/3/2026 1:11,2.690000057,3929,60,116,27609,28/3/2026 1:11,60.18999863,84,0,0,3.144000053,60
28/3/2026 1:11,2.680000067,3989,60,116,27628,28/3/2026 1:11,60.18999863,84,0,0,3.144999981,60
