Block Position,Hook Load,PVT,Time,Note,Note_Param,Zone_Line,,,,Depth,ROP,WOB,RPM,Torque,SPP,SPM,Flow Out
20.84833336,54.53333282,457.4833393,10:00:20 AM,,,,,,,,,,,,,,
21.66333389,55.43333435,452.4499893,10:00:25 AM,,,,,,,,,,,,,,
21.57999992,24.39999962,451.0000229,10:00:30 AM,,,,,,,,,,,,,,
21.56999969,19.5,449.5999813,10:00:35 AM,,,,,,,,,,,,,,
21.75333405,19.58333397,448.2500076,10:00:40 AM,,,,,,,,,,,,,,
21.21000099,19.98333359,446.600008,10:00:45 AM,,,,,,,,,,,,,,
7.994999886,20.18333435,445.5833435,10:00:50 AM,,,,,,,,,,,,,,
2.293333292,18.96666718,444.4499969,10:00:55 AM,,,,,,,,,,,,,,
2.99333334,53.73333359,442.8333282,10:01:00 AM,,,,,,,,,,,,,,
3.838333368,53.34999847,440.5333519,10:01:05 AM,,,,,,,,,,,,,,
8.409999847,53.40000153,434.916687,10:01:10 AM,,,,,,,,,,,,,,
13.39333344,53.70000076,428.8166523,10:01:15 AM,,,,,,,,,,,,,,
17.51000023,53.79999924,423.9166737,10:01:20 AM,,,,,,,,,,,,,,
21.02000046,54.30000305,419.4333076,10:01:25 AM,,,,,,,,,,,,,,
21.58333206,31.71666718,418.7999725,10:01:30 AM,,,,,,,,,,,,,,
21.59166718,19.39999962,418.3333397,10:01:35 AM,,,,,,,,,,,,,,
21.76000023,19.68333435,417.5666809,10:01:40 AM,,,,,,,,,,,,,,
16.21666718,20.66666603,416.8833256,10:01:45 AM,,,,,,,,,,,,,,
2.74666667,19.63333321,416.2333488,10:01:50 AM,,,,,,,,,,,,,,
2.391666651,36.03333282,415.3333664,10:01:55 AM,,,,,,,,,,,,,,
4.313333511,53.01666641,413.1833076,10:02:00 AM,,,,,,,,,,,,,,
7.716666698,53.06666565,411.8666649,10:02:05 AM,,,,,,,,,,,,,,
11.39833355,53.1166687,407.5333595,10:02:10 AM,,,,,,,,,,,,,,
14.94833374,53.04999924,403.8666725,10:02:15 AM,,,,,,,,,,,,,,
18.56833267,53.54999924,400.6166458,10:02:20 AM,,,,,,,,,,,,,,
21.4849987,47.54999924,398.5833406,10:02:25 AM,,,,,,,,,,,,,,
21.47999954,19.53333282,399.3499994,10:02:30 AM,,,,,,,,,,,,,,
21.59166718,19.21666718,399.2333412,10:02:35 AM,,,,,,,,,,,,,,
19.36999893,19.95000076,399.1166592,10:02:40 AM,,,,,,,,,,,,,,
4.348333359,19.5,398.3999968,10:02:45 AM,,,,,,,,,,,,,,
2.318333387,23.28333282,397.3999977,10:02:50 AM,,,,,,,,,,,,,,
3.851666689,52.1333313,395.449996,10:02:55 AM,,,,,,,,,,,,,,
7.288332939,52.68333435,391.4833307,10:03:00 AM,,,,,,,,,,,,,,
10.84333324,52.23333359,387.5166655,10:03:05 AM,,,,,,,,,,,,,,
13.81999969,52.76666641,384.4166756,10:03:10 AM,,,,,,,,,,,,,,
16.47833252,54,382.0833206,10:03:15 AM,,,,,,,,,,,,,,
19.20666695,53.03333282,378.5000086,10:03:20 AM,,,,,,,,,,,,,,
21.4216671,52.5,375.3499985,10:03:25 AM,,,,,,,,,,,,,,
21.48333359,30.36666679,374.849987,10:03:30 AM,,,,,,,,,,,,,,
21.44666672,19.39999962,375,10:03:35 AM,,,,,,,,,,,,,,
21.63166618,19.33333397,374.7333288,10:03:40 AM,,,,,,,,,,,,,,
20.45833397,19.98333359,374.333334,10:03:45 AM,,,,,,,,,,,,,,
6.016666412,20.29999924,373.083353,10:03:50 AM,,,,,,,,,,,,,,
2.148333311,18.85000038,372.2333431,10:03:55 AM,,,,,,,,,,,,,,
2.87166667,46.01666641,371.2500095,10:04:00 AM,,,,,,,,,,,,,,
6.491666794,51.53333282,367.1999931,10:04:05 AM,,,,,,,,,,,,,,
10.35833359,52.41666794,361.6166592,10:04:10 AM,,,,,,,,,,,,,,
13.29833317,52.34999847,357.6666594,10:04:15 AM,,,,,,,,,,,,,,
17.25166702,52.79999924,352.6499987,10:04:20 AM,,,,,,,,,,,,,,
20.76166725,51.6166687,348.2666731,10:04:25 AM,,,,,,,,,,,,,,
21.49666595,35.40000153,346.2666512,10:04:30 AM,,,,,,,,,,,,,,
21.41500092,19.51666641,345.7999945,10:04:35 AM,,,,,,,,,,,,,,
21.51499939,19.20000076,345.0166702,10:04:40 AM,,,,,,,,,,,,,,
21.80166626,19.58333397,343.8333273,10:04:45 AM,,,,,,,,,,,,,,
17.11499977,20.31666565,343.5666561,10:04:50 AM,,,,,,,,,,,,,,
2.963333368,19.73333359,341.8333292,10:04:55 AM,,,,,,,,,,,,,,
2.533333302,34.95000076,340.4500008,10:05:00 AM,,,,,,,,,,,,,,
4.889999866,50.81666565,337.0333433,10:05:05 AM,,,,,,,,,,,,,,
9.331666946,50.78333282,332.2000027,10:05:10 AM,,,,,,,,,,,,,,
13.49333382,51.28333282,326.7999887,10:05:15 AM,,,,,,,,,,,,,,
17.10666656,50.73333359,322.1666574,10:05:20 AM,,,,,,,,,,,,,,
20.81833267,50.98333359,316.9500113,10:05:25 AM,,,,,,,,,,,,,,
21.56999969,51.33333588,315.8333302,10:05:30 AM,,,,,,,,,,,,,,
21.56833267,51.23333359,316.4833307,10:05:35 AM,,,,,,,,,,,,,,
21.5233326,35.33333206,315.8333302,10:05:40 AM,,,,,,,,,,,,,,
21.47833252,19.46666718,314.8000002,10:05:45 AM,,,,,,,,,,,,,,
21.53333282,19.23333359,314.199996,10:05:50 AM,,,,,,,,,,,,,,
21.79333305,19.58333206,313.316679,10:05:55 AM,,,,,,,,,,,,,,
13.96333313,20.63333321,312.2499943,10:06:00 AM,,,,,,,,,,,,,,
2.216666698,19.20000076,311.7000103,10:06:05 AM,,,,,,,,,,,,,,
3.123333216,44.34999847,310.1500034,10:06:10 AM,,,,,,,,,,,,,,
8.438333511,50.25,304.1666746,10:06:15 AM,,,,,,,,,,,,,,
13.19999981,51.88333511,297.1166611,10:06:20 AM,,,,,,,,,,,,,,
17.39500046,50.21666718,291.8499947,10:06:25 AM,,,,,,,,,,,,,,
21.23999977,45.08333206,287.1000051,10:06:30 AM,,,,,,,,,,,,,,
21.45999908,19.66666603,285.5333328,10:06:35 AM,,,,,,,,,,,,,,
21.51166534,19.58333397,284.800005,10:06:40 AM,,,,,,,,,,,,,,
21.6716671,19.78333282,283.1333399,10:06:45 AM,,,,,,,,,,,,,,
17.55666733,20.36666679,282.3666811,10:06:50 AM,,,,,,,,,,,,,,
3.180000067,19.73333359,280.2999973,10:06:55 AM,,,,,,,,,,,,,,
2.518333435,34.56666565,279.8500061,10:07:00 AM,,,,,,,,,,,,,,
6.191666603,49.53333282,275.1333237,10:07:05 AM,,,,,,,,,,,,,,
11.06833363,49.51666641,268.4999943,10:07:10 AM,,,,,,,,,,,,,,
15.52666664,49.58333206,263.0166769,10:07:15 AM,,,,,,,,,,,,,,
20.07166672,49.73333359,257.3666573,10:07:20 AM,,,,,,,,,,,,,,
21.49499893,35.16666794,253.8500071,10:07:25 AM,,,,,,,,,,,,,,
21.44000053,19.76666641,252.9833317,10:07:30 AM,,,,,,,,,,,,,,
21.54333305,19.66666603,252.8000116,10:07:35 AM,,,,,,,,,,,,,,
21.6566658,19.86666679,251.9000053,10:07:40 AM,,,,,,,,,,,,,,
19.5466671,20.23333359,249.4833469,10:07:45 AM,,,,,,,,,,,,,,
4.679999828,19.86666679,248.3333349,10:07:50 AM,,,,,,,,,,,,,,
